Toetuse saaja nimi;Toetuse saaja registrikood;Meetme nimetus;Teenuse nimetus;Laenusumma;Lepingu sõlmimise kuupäev;Laenu tähtaeg
LDL Logistics OÜ ;11365408;Erakorraline laen;Erakorraline käibekapitalilaen;120000;04.05.2020;31.05.2024
Paragon Sleep AS (end Toom Tekstiil AS);10250287;Erakorraline laen;Erakorraline käibekapitalilaen;1000000;07.05.2020;30.04.2023
OnePro OÜ ;11882322;Erakorraline laen;Erakorraline käibekapitalilaen;30000;07.05.2020;30.04.2026
Nurme Production OÜ;12560543;Erakorraline laen;Erakorraline käibekapitalilaen;500000;07.05.2020;30.04.2022
Scandinavian Tours OÜ ;10658344;Erakorraline laen;Erakorraline käibekapitalilaen;50000;07.05.2020;30.04.2022
Sixstar OÜ ;12819461;Erakorraline laen;Erakorraline käibekapitalilaen;300000;07.05.2020;30.04.2025
Pentamet OÜ;10679139;Erakorraline laen;Erakorraline investeerimislaen;830000;07.05.2020;30.04.2025
Saare Partner OÜ ;11062837;Erakorraline laen;Erakorraline käibekapitalilaen;50000;08.05.2020;30.04.2025
EstNor OÜ;10706304;Erakorraline laen;Erakorraline käibekapitalilaen;500000;08.05.2020;30.04.2023
Saaremaa Lihatööstus OÜ ;11323290;Erakorraline laen;Erakorraline käibekapitalilaen;2500000;08.05.2020;30.04.2026
Minix OÜ;10092003;Erakorraline laen;Erakorraline käibekapitalilaen;17000;11.05.2020;30.04.2026
Transfer1.NET OÜ ;11762322;Erakorraline laen;Erakorraline käibekapitalilaen;50000;12.05.2020;30.04.2023
Svekorr OÜ ;14195160;Erakorraline laen;Erakorraline käibekapitalilaen;40000;14.05.2020;30.04.2024
ARES OÜ ;10883644;Erakorraline laen;Erakorraline käibekapitalilaen;100000;14.05.2020;30.04.2026
Servicetrade OÜ ;11536442;Erakorraline laen;Erakorraline käibekapitalilaen;17000;14.05.2020;30.04.2025
Egesten Metallehitused OÜ ;11650729;Erakorraline laen;Erakorraline käibekapitalilaen;300000;14.05.2020;30.04.2025
Optimum Linea OÜ (end Balti Tekstiil Kaubandus OÜ);10195944;Erakorraline laen;Erakorraline käibekapitalilaen;360000;14.05.2020;30.04.2025
WOWW.com OÜ ;12843755;Erakorraline laen;Erakorraline käibekapitalilaen;30000;14.05.2020;30.04.2024
Mustamäe Spa OÜ ;14490634;Erakorraline laen;Erakorraline käibekapitalilaen;1500000;18.05.2020;30.04.2026
Seacom International OÜ ;11964072;Erakorraline laen;Erakorraline käibekapitalilaen;25000;18.05.2020;30.04.2025
FTC OÜ ;14444151;Erakorraline laen;Erakorraline investeerimislaen;15900;18.05.2020;30.04.2026
Bueno Gourmet OÜ;12613245;Erakorraline laen;Erakorraline käibekapitalilaen;20000;20.05.2020;30.04.2025
WOW Events OÜ;10687587;Erakorraline laen;Erakorraline käibekapitalilaen;45000;21.05.2020;30.04.2023
Wellmax Baltic OÜ;11403020;Erakorraline laen;Erakorraline käibekapitalilaen;260000;21.05.2020;30.04.2026
Fesma Alu OÜ;10236293;Erakorraline laen;Erakorraline investeerimislaen;352500;22.05.2020;31.05.2026
Sileesia OÜ ;12641260;Erakorraline laen;Erakorraline käibekapitalilaen;25000;27.05.2020;31.05.2023
Modera AS (end. Modera Software AS);11383889;Erakorraline laen;Erakorraline investeerimislaen;300000;27.05.2020;30.04.2025
Drkif OÜ ;14536069;Erakorraline laen;Erakorraline käibekapitalilaen;50000;28.05.2020;30.04.2025
SoojusGrupp OÜ ;12800510;Erakorraline laen;Erakorraline käibekapitalilaen;65000;28.05.2020;30.04.2025
Vahvlikohvik OÜ;12697058;Erakorraline laen;Erakorraline käibekapitalilaen;30000;28.05.2020;30.04.2025
Nordic Beach OÜ ;12649579;Erakorraline laen;Erakorraline käibekapitalilaen;130000;29.05.2020;30.04.2026
Baltic Laundry Service OÜ;11113500;Erakorraline laen;Erakorraline käibekapitalilaen;90000;02.06.2020;31.05.2025
Scandic Promotion OÜ ;12589618;Erakorraline laen;Erakorraline käibekapitalilaen;15000;02.06.2020;31.05.2024
Coffee IN OÜ;10933767;Erakorraline laen;Erakorraline käibekapitalilaen;400000;02.06.2020;31.05.2025
Maivel OÜ ;10236407;Erakorraline laen;Erakorraline käibekapitalilaen;53000;02.06.2020;31.05.2024
Bengo Finants OÜ ;12931382;Erakorraline laen;Erakorraline käibekapitalilaen;50000;03.06.2020;31.05.2025
Natural AS;10303196;Erakorraline laen;Erakorraline käibekapitalilaen;650000;03.06.2020;31.05.2026
Mulieres OÜ ;12513437;Erakorraline laen;Erakorraline käibekapitalilaen;60000;03.06.2020;31.05.2023
TRANSLATE OÜ;11478845;Erakorraline laen;Erakorraline käibekapitalilaen;5000;08.06.2020;30.06.2023
Tallink Grupp AS;10238429;Erakorraline laen;Erakorraline laen riiklikele projektidele;100000000;08.06.2020;08.06.2023
Event Center OÜ;10933589;Erakorraline laen;Erakorraline käibekapitalilaen;260000;09.06.2020;30.09.2022
Skivers Hides AS;10339544;Erakorraline laen;Erakorraline käibekapitalilaen;100000;09.06.2020;31.05.2026
Bilaina OÜ ;10644299;Erakorraline laen;Erakorraline käibekapitalilaen;40000;09.06.2020;31.05.2026
Dialog Line OÜ ;11384742;Erakorraline laen;Erakorraline käibekapitalilaen;100000;10.06.2020;31.05.2025
Prydwen OÜ ;14110287;Erakorraline laen;Erakorraline käibekapitalilaen;500000;10.06.2020;31.05.2024
RGB Baltic OÜ;11184026;Erakorraline laen;Erakorraline käibekapitalilaen;650000;10.06.2020;31.05.2026
Mäe Hambaravi OÜ ;10474377;Erakorraline laen;Erakorraline käibekapitalilaen;40000;10.06.2020;31.05.2026
Orti Grupp OÜ (end. Potwis Logistics OÜ);11089405;Erakorraline laen;Erakorraline investeerimislaen;150000;10.06.2020;30.06.2025
IMEPILT AS;12417774;Erakorraline laen;Erakorraline käibekapitalilaen;124585;11.06.2020;31.01.2026
Voyage OÜ ;11334833;Erakorraline laen;Erakorraline käibekapitalilaen;50000;12.06.2020;31.05.2023
Kalevi Veekeskus OÜ ;11053554;Erakorraline laen;Erakorraline käibekapitalilaen;1010000;12.06.2020;31.05.2026
Elektritakso Tallinn OÜ ;12851140;Erakorraline laen;Erakorraline käibekapitalilaen;10000;15.06.2020;31.05.2023
ELEKTRITAKSO OÜ;12436688;Erakorraline laen;Erakorraline käibekapitalilaen;10000;15.06.2020;31.05.2023
Laitse Loss OÜ ;12381734;Erakorraline laen;Erakorraline käibekapitalilaen;55000;15.06.2020;31.05.2026
Kehra Puutööstus OÜ ;12379660;Erakorraline laen;Erakorraline käibekapitalilaen;500000;15.06.2020;31.05.2026
Ceranos Invest OÜ ;11093648;Erakorraline laen;Erakorraline käibekapitalilaen;270000;16.06.2020;30.06.2026
Helios kirjastus OÜ ;11625080;Erakorraline laen;Erakorraline käibekapitalilaen;60000;17.06.2020;30.06.2025
Toit Invest OÜ ;14630041;Erakorraline laen;Erakorraline käibekapitalilaen;15000;18.06.2020;31.05.2025
Innore OÜ ;14079548;Erakorraline laen;Erakorraline käibekapitalilaen;400000;18.06.2020;31.05.2026
Loovusait OÜ ;12124826;Erakorraline laen;Erakorraline investeerimislaen;26387;18.06.2020;31.05.2026
Starmaker OÜ;10412838;Erakorraline laen;Erakorraline käibekapitalilaen;500000;19.06.2020;31.05.2023
Just Print OÜ ;12822150;Erakorraline laen;Erakorraline käibekapitalilaen;300000;26.06.2020;31.05.2023
Traveller Tours OÜ ;12092361;Erakorraline laen;Erakorraline käibekapitalilaen;86000;29.06.2020;30.06.2025
Geriuks OÜ ;14431761;Erakorraline laen;Erakorraline käibekapitalilaen;7000;30.06.2020;31.05.2026
Estivity OÜ ;14442523;Erakorraline laen;Erakorraline investeerimislaen;20000;30.06.2020;30.06.2026
MeP Trans AS;10037205;Erakorraline laen;Erakorraline käibekapitalilaen;960000;01.07.2020;30.06.2026
Raudar Metal Works OÜ;12345520;Erakorraline laen;Erakorraline käibekapitalilaen;40000;02.07.2020;30.06.2022
Raudar Metal Works OÜ;12345520;Erakorraline laen;Erakorraline investeerimislaen;72000;02.07.2020;30.06.2025
Rephop OÜ (end Reporting Usability OÜ);12569165;Erakorraline laen;Erakorraline käibekapitalilaen;100000;03.07.2020;30.06.2022
Nordic Metal Group OÜ ;14066114;Erakorraline laen;Erakorraline käibekapitalilaen;60000;03.07.2020;30.06.2022
Knoobus OÜ ;11548304;Erakorraline laen;Erakorraline käibekapitalilaen;150000;03.07.2020;30.06.2025
Nordic Hotels OÜ ;11149337;Erakorraline laen;Erakorraline investeerimislaen;800000;06.07.2020;30.06.2025
Kesklinna Pesumaja OÜ ;12726529;Erakorraline laen;Erakorraline investeerimislaen;33000;08.07.2020;31.07.2025
Fishing Network OÜ ;12298720;Erakorraline laen;Erakorraline käibekapitalilaen;5000;09.07.2020;30.06.2022
Eleport OÜ (end Elektritransport OÜ);14053046;Erakorraline laen;Erakorraline käibekapitalilaen;45000;10.07.2020;31.07.2022
NORDVEO OÜ ;10078635;Erakorraline laen;Erakorraline käibekapitalilaen;25000;10.07.2020;30.06.2023
Eleport OÜ (end Elektritransport OÜ);14053046;Erakorraline laen;Erakorraline investeerimislaen;125000;10.07.2020;30.06.2025
Atribor OÜ;11963457;Erakorraline laen;Erakorraline investeerimislaen;35000;11.07.2020;31.07.2025
Fiizy OÜ ;12694462;Erakorraline laen;Erakorraline käibekapitalilaen;500000;13.07.2020;30.06.2022
Tresco Metall OÜ ;14206024;Erakorraline laen;Erakorraline käibekapitalilaen;150000;14.07.2020;30.06.2025
MA Fashion Holding OÜ;11693207;Erakorraline laen;Erakorraline käibekapitalilaen;900000;16.07.2020;30.06.2022
Adam Bd AS;10424758;Erakorraline laen;Erakorraline käibekapitalilaen;480000;17.07.2020;16.07.2022
"Valhalla Living OÜ	";12266163;Erakorraline laen;Erakorraline käibekapitalilaen;23977;20.07.2020;30.06.2022
ARGMAR GRUPP OÜ ;10146035;Erakorraline laen;Erakorraline käibekapitalilaen;700000;21.07.2020;17.07.2026
FTC Airy OÜ;11747512;Erakorraline laen;Erakorraline käibekapitalilaen;5000;22.07.2020;21.07.2022
Wris AS;10280259;Erakorraline laen;Erakorraline käibekapitalilaen;500000;23.07.2020;31.07.2026
Time For Fun OÜ ;11987280;Erakorraline laen;Erakorraline käibekapitalilaen;60000;23.07.2020;30.06.2024
InTar MW OÜ (end InTar Metall OÜ);12453899;Erakorraline laen;Erakorraline käibekapitalilaen;130000;23.07.2020;21.07.2022
Äärmusliku Spordi AS;10211494;Erakorraline laen;Erakorraline investeerimislaen;300000;23.07.2020;30.06.2026
Autopark Metra OÜ ;10356070;Erakorraline laen;Erakorraline käibekapitalilaen;30000;27.07.2020;30.06.2022
Suur Aasta OÜ;12502057;Erakorraline laen;Erakorraline investeerimislaen;133000;27.07.2020;30.06.2025
Sockmann Group OÜ;11717422;Erakorraline laen;Erakorraline käibekapitalilaen;235100;28.07.2020;30.06.2026
MANN GRUPP OÜ;10797040;Erakorraline laen;Erakorraline käibekapitalilaen;40000;06.08.2020;31.08.2021
Hansolo OÜ;12437662;Erakorraline laen;Erakorraline investeerimislaen;50000;06.08.2020;30.06.2025
Geniteh OÜ ;10303612;Erakorraline laen;Erakorraline investeerimislaen;85000;07.08.2020;31.07.2025
EESTI KESKKONNATEENUSED AS;10277820;Erakorraline laen;Erakorraline investeerimislaen;5000000;07.08.2020;31.07.2026
New Service OÜ ;12035707;Erakorraline laen;Erakorraline käibekapitalilaen;9000;13.08.2020;31.08.2022
Bisly OÜ;12198160;Erakorraline laen;Erakorraline käibekapitalilaen;250000;14.08.2020;31.07.2022
Allprint HM OÜ ;12305503;Erakorraline laen;Erakorraline käibekapitalilaen;20000;21.08.2020;31.07.2022
